Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.07,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.07,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.026,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.022,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.053,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.003,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.07,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.009,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.115,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.003,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.979,114253.2,0.017,BTCUSDT
2025-09-29 23:51:25.980,114253.2,0.032,BTCUSDT
2025-09-29 23:51:25.980,114253.2,0.006,BTCUSDT
2025-09-29 23:51:25.980,114253.1,0.002,BTCUSDT
2025-09-29 23:51:25.980,114253.1,0.002,BTCUSDT
2025-09-29 23:51:25.980,114253.1,0.001,BTCUSDT
2025-09-29 23:51:25.980,114253.1,0.006,BTCUSDT
2025-09-29 23:51:25.980,114253.0,0.09,BTCUSDT
2025-09-29 23:51:25.980,114252.9,0.034,BTCUSDT
2025-09-29 23:51:25.980,114252.9,0.002,BTCUSDT
2025-09-29 23:51:25.984,114252.8,0.017,BTCUSDT
2025-09-29 23:51:25.984,114252.8,0.001,BTCUSDT
2025-09-29 23:51:25.984,114252.8,0.001,BTCUSDT
2025-09-29 23:51:25.984,114252.5,0.002,BTCUSDT
2025-09-29 23:51:25.984,114252.3,0.001,BTCUSDT
2025-09-29 23:51:25.984,114252.3,0.001,BTCUSDT
2025-09-29 23:51:25.984,114252.3,0.004,BTCUSDT
2025-09-29 23:51:25.984,114252.3,0.003,BTCUSDT
2025-09-29 23:51:25.984,114252.0,0.002,BTCUSDT
2025-09-29 23:51:25.984,114252.0,0.002,BTCUSDT
2025-09-29 23:51:25.984,114252.0,0.004,BTCUSDT
2025-09-29 23:51:25.984,114252.0,0.004,BTCUSDT
2025-09-29 23:51:26.179,114251.9,0.006,BTCUSDT
2025-09-29 23:51:26.270,114251.9,0.004,BTCUSDT
2025-09-29 23:51:26.308,114251.9,0.001,BTCUSDT
